company_name,sector,symbol
Belrise Industries Ltd.,Automobile and Auto Components,BELRISE
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT
Bharat Dynamics Ltd.,Capital Goods,BDL
Bharat Electronics Ltd.,Capital Goods,BEL
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI
Billionbrains Garage Ventures Ltd.,Financial Services,GROWW
Biocon Ltd.,Healthcare,BIOCON
Birlasoft Ltd.,Information Technology,BSOFT
Blue Dart Express Ltd.,Services,BLUEDART
Blue Jet Healthcare Ltd.,Healthcare,BLUEJET
Blue Star Ltd.,Consumer Durables,BLUESTARCO
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY
Brigade Enterprises Ltd.,Realty,BRIGADE
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL
CESC Ltd.,Power,CESC
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA
CRISIL Ltd.,Financial Services,CRISIL
Can Fin Homes Ltd.,Financial Services,CANFINHOME
Canara Bank,Financial Services,CANBK
Canara HSBC Life Insurance Company Ltd.,Financial Services,CANHLIFE
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT
Capri Global Capital Ltd.,Financial Services,CGCL
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV
Cartrade Tech Ltd.,Consumer Services,CARTRADE
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND
Ceat Ltd.,Automobile and Auto Components,CEATLTD
Cemindia Projects Ltd.,Construction,CEMPRO
Central Bank of India,Financial Services,CENTRALBK
Central Depository Services (India) Ltd.,Financial Services,CDSL
Chalet Hotels Ltd.,Consumer Services,CHALET
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO
Choice International Ltd.,Financial Services,CHOICEIN
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN
Cipla Ltd.,Healthcare,CIPLA
City Union Bank Ltd.,Financial Services,CUB
Clean Science and Technology Ltd.,Chemicals,CLEAN
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP
Coforge Ltd.,Information Technology,COFORGE
Cohance Lifesciences Ltd.,Healthcare,COHANCE
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL
Computer Age Management Services Ltd.,Financial Services,CAMS
Concord Biotech Ltd.,Healthcare,CONCORDBIO
Container Corporation of India Ltd.,Services,CONCOR
Coromandel International Ltd.,Chemicals,COROMANDEL
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN
CreditAccess Grameen Ltd.,Financial Services,CREDITACC
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON
Cummins India Ltd.,Capital Goods,CUMMINSIND
Cyient Ltd.,Information Technology,CYIENT
DCM Shriram Ltd.,Diversified,DCMSHRIRAM
DLF Ltd.,Realty,DLF
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR
Delhivery Ltd.,Services,DELHIVERY
Devyani International Ltd.,Consumer Services,DEVYANI
Divi's Laboratories Ltd.,Healthcare,DIVISLAB
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY
Dummy Vedanta Ltd. 1,Metals & Mining,DUMMYVEDL1
Dummy Vedanta Ltd. 2,Power,DUMMYVEDL2
Dummy Vedanta Ltd. 3,Oil Gas & Consumable Fuels,DUMMYVEDL3
Dummy Vedanta Ltd. 4,Metals & Mining,DUMMYVEDL4
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY
EIH Ltd.,Consumer Services,EIHOTEL
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT
Elecon Engineering Co. Ltd.,Capital Goods,ELECON
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD
Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE
Emmvee Photovoltaic Power Ltd.,Capital Goods,EMMVEE
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE
Engineers India Ltd.,Construction,ENGINERSIN
Eris Lifesciences Ltd.,Healthcare,ERIS
Escorts Kubota Ltd.,Capital Goods,ESCORTS
Eternal Ltd.,Consumer Services,ETERNAL
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA
Federal Bank Ltd.,Financial Services,FEDERALBNK
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT
Finolex Cables Ltd.,Capital Goods,FINCABLES
Firstsource Solutions Ltd.,Services,FSL
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR
Force Motors Ltd.,Automobile and Auto Components,FORCEMOT
Fortis Healthcare Ltd.,Healthcare,FORTIS
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL
GE Vernova T&D India Ltd.,Capital Goods,GVT&D
GMR Airports Ltd.,Services,GMRAIRPORT
Gabriel India Ltd.,Automobile and Auto Components,GABRIEL
Gallantt Ispat Ltd.,Capital Goods,GALLANTT
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE
General Insurance Corporation of India,Financial Services,GICRE
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE
Gland Pharma Ltd.,Healthcare,GLAND
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK
Global Health Ltd.,Healthcare,MEDANTA
Go Digit General Insurance Ltd.,Financial Services,GODIGIT
Godawari Power & Ispat Ltd.,Capital Goods,GPIL
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP
Godrej Industries Ltd.,Diversified,GODREJIND
Godrej Properties Ltd.,Realty,GODREJPROP
Granules India Ltd.,Healthcare,GRANULES
Graphite India Ltd.,Capital Goods,GRAPHITE
Grasim Industries Ltd.,Construction Materials,GRASIM
Gravita India Ltd.,Metals & Mining,GRAVITA
Great Eastern Shipping Co. Ltd.,Services,GESHIP
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD
H.E.G. Ltd.,Capital Goods,HEG
HBL Engineering Ltd.,Capital Goods,HBLENGINE
HCL Technologies Ltd.,Information Technology,HCLTECH
HDB Financial Services Ltd.,Financial Services,HDBFS
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC
HDFC Bank Ltd.,Financial Services,HDFCBANK
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE
HFCL Ltd.,Telecommunication,HFCL
Havells India Ltd.,Consumer Durables,HAVELLS
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO
Hexaware Technologies Ltd.,Information Technology,HEXT
Himadri Speciality Chemical Ltd.,Chemicals,HSCL
Hindalco Industries Ltd.,Metals & Mining,HINDALCO
Hindustan Aeronautics Ltd.,Capital Goods,HAL
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST
Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA
Honeywell Automation India Ltd.,Capital Goods,HONAUT
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI
ICICI Bank Ltd.,Financial Services,ICICIBANK
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI
ICICI Prudential Asset Management Company Ltd.,Financial Services,ICICIAMC
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI
IDBI Bank Ltd.,Financial Services,IDBI
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB
IFCI Ltd.,Financial Services,IFCI
IIFL Finance Ltd.,Financial Services,IIFL
IRB Infrastructure Developers Ltd.,Construction,IRB
IRCON International Ltd.,Construction,IRCON
ITC Hotels Ltd.,Consumer Services,ITCHOTELS
ITC Ltd.,Fast Moving Consumer Goods,ITC
ITI Ltd.,Telecommunication,ITI
Indegene Ltd.,Healthcare,INDGN
India Cements Ltd.,Construction Materials,INDIACEM
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART
Indian Bank,Financial Services,INDIANB
Indian Energy Exchange Ltd.,Financial Services,IEX
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC
Indian Overseas Bank,Financial Services,IOB
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL
Indus Towers Ltd.,Telecommunication,INDUSTOWER
IndusInd Bank Ltd.,Financial Services,INDUSINDBK
Info Edge (India) Ltd.,Consumer Services,NAUKRI
Infosys Ltd.,Information Technology,INFY
Inox Wind Ltd.,Capital Goods,INOXWIND
Intellect Design Arena Ltd.,Information Technology,INTELLECT
InterGlobe Aviation Ltd.,Services,INDIGO
International Gemological Institute Ltd.,Services,IGIL
Inventurus Knowledge Solutions Ltd.,Information Technology,IKS
Ipca Laboratories Ltd.,Healthcare,IPCALAB
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM
J.K. Cement Ltd.,Construction Materials,JKCEMENT
JBM Auto Ltd.,Automobile and Auto Components,JBMA
JK Tyre & Industries Ltd.,Automobile and Auto Components,JKTYRE
JM Financial Ltd.,Financial Services,JMFINANCIL
JSW Cement Ltd.,Construction Materials,JSWCEMENT
JSW Dulux Ltd.,Consumer Durables,JSWDULUX
JSW Energy Ltd.,Power,JSWENERGY
JSW Infrastructure Ltd.,Services,JSWINFRA
JSW Steel Ltd.,Metals & Mining,JSWSTEEL
Jain Resource Recycling Ltd.,Metals & Mining,JAINREC
Jaiprakash Power Ventures Ltd.,Power,JPPOWER
Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK
Jindal Saw Ltd.,Capital Goods,JINDALSAW
Jindal Stainless Ltd.,Metals & Mining,JSL
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL
Jio Financial Services Ltd.,Financial Services,JIOFIN
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA
Jupiter Wagons Ltd.,Capital Goods,JWL
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC
K.P.R. Mill Ltd.,Textiles,KPRMILL
KEI Industries Ltd.,Capital Goods,KEI
KPIT Technologies Ltd.,Information Technology,KPITTECH
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER
Kalpataru Projects International Ltd.,Construction,KPIL
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA
Kaynes Technology India Ltd.,Capital Goods,KAYNES
Kec International Ltd.,Construction,KEC
Kfin Technologies Ltd.,Financial Services,KFINTECH
Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS
L&T Finance Ltd.,Financial Services,LTF
L&T Technology Services Ltd.,Information Technology,LTTS
LG Electronics India Ltd.,Consumer Durables,LGEINDIA
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN
LT Foods Ltd.,Fast Moving Consumer Goods,LTFOODS
LTM Ltd.,Information Technology,LTM
Larsen & Toubro Ltd.,Construction,LT
Latent View Analytics Ltd.,Information Technology,LATENTVIEW
Laurus Labs Ltd.,Healthcare,LAURUSLABS
Leela Palaces Hotels & Resorts Ltd.,Consumer Services,THELEELA
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE
Lenskart Solutions Ltd.,Consumer Services,LENSKART
Life Insurance Corporation of India,Financial Services,LICI
Linde India Ltd.,Chemicals,LINDEINDIA
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME
Lodha Developers Ltd.,Realty,LODHA
Lupin Ltd.,Healthcare,LUPIN
MMTC Ltd.,Services,MMTC
MRF Ltd.,Automobile and Auto Components,MRF
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M
Manappuram Finance Ltd.,Financial Services,MANAPPURAM
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL
Mankind Pharma Ltd.,Healthcare,MANKIND
Marico Ltd.,Fast Moving Consumer Goods,MARICO
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI
Max Financial Services Ltd.,Financial Services,MFSL
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK
Meesho Ltd.,Consumer Services,MEESHO
Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS
MphasiS Ltd.,Information Technology,MPHASIS
Multi Commodity Exchange of India Ltd.,Financial Services,MCX
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN
NATCO Pharma Ltd.,Healthcare,NATCOPHARM
NBCC (India) Ltd.,Construction,NBCC
NCC Ltd.,Construction,NCC
NHPC Ltd.,Power,NHPC
NLC India Ltd.,Power,NLCINDIA
NMDC Ltd.,Metals & Mining,NMDC
NMDC Steel Ltd.,Metals & Mining,NSLNISP
NTPC Green Energy Ltd.,Power,NTPCGREEN
NTPC Ltd.,Power,NTPC
Narayana Hrudayalaya Ltd.,Healthcare,NH
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM
Nava Ltd.,Power,NAVA
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND
Netweb Technologies India Ltd.,Information Technology,NETWEB
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB
Newgen Software Technologies Ltd.,Information Technology,NEWGEN
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA
Niva Bupa Health Insurance Company Ltd.,Financial Services,NIVABUPA
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO
Oberoi Realty Ltd.,Realty,OBEROIRLTY
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL
Ola Electric Mobility Ltd.,Automobile and Auto Components,OLAELEC
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA
One 97 Communications Ltd.,Financial Services,PAYTM
Onesource Specialty Pharma Ltd.,Healthcare,ONESOURCE
Oracle Financial Services Software Ltd.,Information Technology,OFSS
PB Fintech Ltd.,Financial Services,POLICYBZR
PCBL Chemical Ltd.,Chemicals,PCBL
PG Electroplast Ltd.,Consumer Durables,PGEL
PI Industries Ltd.,Chemicals,PIIND
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING
PTC Industries Ltd.,Capital Goods,PTCIL
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX
Page Industries Ltd.,Textiles,PAGEIND
Paradeep Phosphates Ltd.,Chemicals,PARADEEP
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI
Persistent Systems Ltd.,Information Technology,PERSISTENT
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET
Pfizer Ltd.,Healthcare,PFIZER
Phoenix Mills Ltd.,Realty,PHOENIXLTD
Physicswallah Ltd.,Consumer Services,PWL
Pidilite Industries Ltd.,Chemicals,PIDILITIND
Pine Labs Ltd.,Financial Services,PINELABS
Piramal Finance Ltd.,Financial Services,PIRAMALFIN
Piramal Pharma Ltd.,Healthcare,PPLPHARMA
Poly Medicure Ltd.,Healthcare,POLYMED
Polycab India Ltd.,Capital Goods,POLYCAB
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA
Power Finance Corporation Ltd.,Financial Services,PFC
Power Grid Corporation of India Ltd.,Power,POWERGRID
Premier Energies Ltd.,Capital Goods,PREMIERENE
Prestige Estates Projects Ltd.,Realty,PRESTIGE
Punjab National Bank,Financial Services,PNB
R R Kabel Ltd.,Capital Goods,RRKABEL
RBL Bank Ltd.,Financial Services,RBLBANK
REC Ltd.,Financial Services,RECLTD
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM
RITES Ltd.,Construction,RITES
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO
Rail Vikas Nigam Ltd.,Construction,RVNL
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE
Redington Ltd.,Services,REDINGTON
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE
Reliance Power Ltd.,Power,RPOWER
SBFC Finance Ltd.,Financial Services,SBFC
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE
SJVN Ltd.,Power,SJVN
SRF Ltd.,Chemicals,SRF
Sagility Ltd.,Information Technology,SAGILITY
Sai Life Sciences Ltd.,Healthcare,SAILIFE
Sammaan Capital Ltd.,Financial Services,SAMMAANCAP
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE
Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER
Shipping Corporation of India Ltd.,Services,SCI
Shree Cement Ltd.,Construction Materials,SHREECEM
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL
Siemens Energy India Ltd.,Capital Goods,ENRIN
Siemens Ltd.,Capital Goods,SIEMENS
Signatureglobal (India) Ltd.,Realty,SIGNATURE
Sobha Ltd.,Realty,SOBHA
Solar Industries India Ltd.,Chemicals,SOLARINDS
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS
Sonata Software Ltd.,Information Technology,SONATSOFTW
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH
State Bank of India,Financial Services,SBIN
Steel Authority of India Ltd.,Metals & Mining,SAIL
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN
Supreme Industries Ltd.,Capital Goods,SUPREMEIND
Supreme Petrochem Ltd.,Chemicals,SPLPETRO
Suzlon Energy Ltd.,Capital Goods,SUZLON
Swan Corp Ltd.,Chemicals,SWANCORP
Swiggy Ltd.,Consumer Services,SWIGGY
Syngene International Ltd.,Healthcare,SYNGENE
Syrma SGS Technology Ltd.,Capital Goods,SYRMA
TBO Tek Ltd.,Consumer Services,TBOTEK
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR
Tata Capital Ltd.,Financial Services,TATACAP
Tata Chemicals Ltd.,Chemicals,TATACHEM
Tata Communications Ltd.,Telecommunication,TATACOMM
Tata Consultancy Services Ltd.,Information Technology,TCS
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM
Tata Elxsi Ltd.,Information Technology,TATAELXSI
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST
Tata Motors Ltd.,Capital Goods,TMCV
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV
Tata Power Co. Ltd.,Power,TATAPOWER
Tata Steel Ltd.,Metals & Mining,TATASTEEL
Tata Technologies Ltd.,Information Technology,TATATECH
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML
Tech Mahindra Ltd.,Information Technology,TECHM
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE
Tega Industries Ltd.,Capital Goods,TEGA
Tejas Networks Ltd.,Telecommunication,TEJASNET
Tenneco Clean Air India Ltd.,Automobile and Auto Components,TENNIND
The New India Assurance Company Ltd.,Financial Services,NIACL
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM
Thermax Ltd.,Capital Goods,THERMAX
Timken India Ltd.,Capital Goods,TIMKEN
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH
Titan Company Ltd.,Consumer Durables,TITAN
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM
Torrent Power Ltd.,Power,TORNTPOWER
Transformers And Rectifiers (India) Ltd.,Capital Goods,TARIL
Travel Food Services Ltd.,Consumer Services,TRAVELFOOD
Trent Ltd.,Consumer Services,TRENT
Trident Ltd.,Textiles,TRIDENT
Triveni Turbine Ltd.,Capital Goods,TRITURBINE
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA
UCO Bank,Financial Services,UCOBANK
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA
UPL Ltd.,Chemicals,UPL
UTI Asset Management Company Ltd.,Financial Services,UTIAMC
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO
Union Bank of India,Financial Services,UNIONBANK
United Breweries Ltd.,Fast Moving Consumer Goods,UBL
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR
Urban Company Ltd.,Consumer Services,URBANCO
Usha Martin Ltd.,Capital Goods,USHAMART
Vardhman Textiles Ltd.,Textiles,VTL
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL
Vedanta Ltd.,Metals & Mining,VEDL
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA
Vishal Mega Mart Ltd.,Consumer Services,VMM
